operator_id,wait_time,missed_calls,out_calls
879896,14166,128,105.0
879898,94114,250,187.0
880020,334,22,14.0
880022,4375,76,68.0
880026,23992,198,179.0
880028,46249,226,181.0
880240,573,14,14.0
881278,78,8,8.0
882478,83,3,1.0
882680,1707,46,
882684,21123,165,113.0
882686,56894,237,166.0
882688,1904,11,8.0
882690,32374,69,45.0
883018,15,1,1.0
883898,10,1,1.0
883940,12701,43,36.0
883942,31269,170,128.0
884402,73,3,3.0
884406,142,4,4.0
884408,1686,27,11.0
884412,16142,128,110.0
884478,29477,93,79.0
884946,29721,92,85.0
885682,51,3,3.0
885876,32353,319,216.0
885890,12995,277,174.0
886146,1154,19,18.0
886674,193,11,
887276,27179,289,215.0
887278,3708,108,82.0
887280,20,6,6.0
887282,33040,118,97.0
887416,369,14,
887802,1818,63,55.0
887992,680,6,6.0
888406,328,13,6.0
888532,2240,92,83.0
888534,5169,142,106.0
888536,688,33,31.0
888538,117,7,6.0
888540,274,18,15.0
888868,1582,34,19.0
889410,22363,262,176.0
889754,27724,215,139.0
890226,132,6,2.0
890228,1928,49,43.0
890232,529,17,17.0
890234,12,1,1.0
890402,28948,238,163.0
890404,32517,254,169.0
890406,26504,243,159.0
890410,24449,164,161.0
890412,22805,168,159.0
890416,25282,154,154.0
890420,13788,89,89.0
890422,8899,66,66.0
890582,2242,73,29.0
890618,6002,84,50.0
891152,5433,92,92.0
891154,10835,133,133.0
891156,385,15,15.0
891158,4607,109,109.0
891160,7981,84,84.0
891162,1823,39,39.0
891166,4443,101,101.0
891170,4053,44,44.0
891192,32,1,1.0
891250,18,1,1.0
891252,960,15,15.0
891410,37440,290,211.0
891414,25709,277,212.0
891416,9332,210,159.0
891744,192,9,5.0
891746,924,6,6.0
891824,480,20,13.0
891900,1338,19,
891906,2043,33,
891908,457,34,6.0
891918,238,8,1.0
891946,952,30,16.0
891970,305,3,3.0
891976,23,1,1.0
891988,11842,183,115.0
892028,25950,71,71.0
892530,649,17,9.0
892532,4004,78,45.0
892534,1298,15,6.0
892536,768,24,12.0
892538,2881,27,20.0
892798,281,4,3.0
892800,111,4,4.0
893172,1033,29,2.0
893400,108,6,3.0
893402,5600,128,38.0
893420,5084,79,26.0
893674,37985,92,92.0
893700,293,4,4.0
893804,84701,325,209.0
894120,493,11,
894224,444,21,8.0
894226,343,12,12.0
894230,245,12,9.0
894232,323,14,10.0
894656,33169,162,147.0
894662,611,22,21.0
894934,113,4,4.0
895172,1766,44,37.0
895266,43,4,1.0
895370,69,2,2.0
895574,1505,49,
895576,1413,46,
895578,935,40,
895598,42,4,2.0
895774,1774,41,35.0
895776,3726,54,44.0
895782,286,9,
895786,1017,17,
896008,2218,80,80.0
896010,201,11,4.0
896012,1611,67,
896014,342,22,7.0
896016,4413,159,125.0
896018,352,18,9.0
896382,7112,35,21.0
896384,671,4,4.0
896386,1850,2,2.0
896390,1971,10,10.0
896428,3184,46,35.0
896430,162,6,5.0
896536,4366,76,
896538,665,11,
896708,3819,36,25.0
897030,1144,22,17.0
897872,379,32,28.0
897894,266,5,5.0
898414,1205,8,4.0
898422,806,27,16.0
898434,401,6,6.0
898558,655,13,
898560,674,10,
898892,2114,50,40.0
898902,472,7,7.0
898906,2724,14,9.0
898920,1396,7,5.0
899076,47,2,2.0
899082,44527,224,150.0
899250,38733,242,152.0
899268,666,25,
899788,11275,42,42.0
899790,11283,34,34.0
899900,187,3,
899932,13148,47,47.0
899964,9459,33,33.0
899968,8011,33,33.0
899972,3311,35,35.0
900180,33479,113,110.0
900192,15,3,1.0
900194,2873,70,29.0
900352,8510,152,91.0
900354,10668,164,111.0
900458,581,11,10.0
900492,6301,113,97.0
900592,3589,90,47.0
900594,2390,90,69.0
900614,601,41,27.0
900742,450,19,9.0
900746,959,31,20.0
900788,2162,84,39.0
900790,1102,26,18.0
900792,134,6,5.0
900826,12203,180,130.0
900892,18236,261,168.0
900894,4941,142,96.0
901034,254,17,7.0
901038,459,26,22.0
901178,3321,51,18.0
901350,2762,36,
901492,995,33,3.0
901498,265,4,
901584,2961,134,84.0
901586,1142,61,33.0
901588,938,49,28.0
901734,426,14,
901880,53456,335,216.0
901884,43202,348,246.0
901886,32140,172,119.0
901894,742,9,
901992,17589,45,37.0
901996,621,5,4.0
902238,13,2,1.0
902510,40555,131,103.0
902532,22628,122,85.0
902608,4818,23,17.0
902720,36892,138,102.0
902742,25047,70,70.0
902744,35659,87,87.0
902746,30069,82,82.0
902748,25374,65,65.0
902774,22993,58,58.0
902776,18072,49,49.0
902778,9453,53,53.0
902782,27705,67,67.0
902906,846,40,
902910,818,22,
903254,31948,243,168.0
903292,5276,23,14.0
903312,3541,82,26.0
903318,28124,210,147.0
903512,1190,17,
903974,185,3,
903978,90,6,4.0
904014,24923,75,61.0
904016,43218,128,101.0
904038,7657,179,96.0
904044,2394,68,22.0
904058,311,17,
904200,363,13,6.0
904202,4312,28,21.0
904204,1193,27,23.0
904284,771,31,
904344,101,4,1.0
905104,6836,160,89.0
905300,650,17,
905308,15,1,1.0
905430,17897,56,37.0
905432,18976,36,31.0
905470,10,1,1.0
905472,110,5,3.0
905480,5,1,1.0
905538,60412,269,209.0
905542,30999,230,174.0
905564,11808,212,180.0
905566,13090,212,186.0
905570,1027,45,45.0
905574,4032,123,119.0
905840,138,6,6.0
905842,18209,136,134.0
905844,23481,136,120.0
905862,1270,43,1.0
905870,14544,81,49.0
905930,4353,128,92.0
905932,4025,123,96.0
905934,168,16,15.0
906070,2872,42,26.0
906076,1230,3,1.0
906294,5303,182,129.0
906296,2045,101,98.0
906392,859,37,29.0
906394,5499,134,111.0
906396,6742,135,101.0
906398,1863,59,31.0
906400,7370,165,121.0
906402,435,17,11.0
906404,25775,169,119.0
906406,35472,217,166.0
906408,8228,68,38.0
906410,6483,50,14.0
906412,3459,96,81.0
906416,1537,39,33.0
906418,136,7,3.0
906420,508,17,12.0
906680,10474,134,70.0
906866,9192,29,29.0
907174,44859,127,118.0
907178,2662,69,66.0
907180,983,34,34.0
907182,2420,126,88.0
907224,4717,157,133.0
907440,1931,94,88.0
907442,1554,50,50.0
907502,5267,65,
907504,216,13,9.0
907952,1952,117,81.0
907964,617,44,30.0
907970,1113,91,75.0
907972,213,10,5.0
907982,2091,89,50.0
907986,2422,80,79.0
907994,1447,87,58.0
907998,26,1,1.0
908002,423,15,10.0
908078,1285,53,20.0
908080,108,7,1.0
908082,415,31,11.0
908098,240,4,
908152,600,10,
908300,281,3,
